Bairro,Vizinho,Logradouro,Tipo,Peso,Tipo Normalizado,Id Rua,Comentário OSM
Jaqueira,Graças,Rua Neto de Mendonça,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/965984036,Specify road smoothness
Aflitos,Encruzilhada,Rua Manuel de Carvalho,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134174443,Specify road smoothness
Hipódromo,Encruzilhada,Rua Carlos Fernandes,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140478431,Acréscimo de nova rota cicloviária
Hipódromo,Campo Grande,Rua Carlos Fernandes,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/974688528,Acréscimo de nova rota cicloviária
Jaqueira,Santana,Rua Neto de Mendonça,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/965984036,Specify road smoothness
Aflitos,Rosarinho,Rua Manuel de Carvalho,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134174443,Specify road smoothness
Jaqueira,Parnamirim,Rua Neto de Mendonça,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/965984036,Specify road smoothness
Aflitos,Espinheiro,Rua Manuel de Carvalho,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134174443,Specify road smoothness
Jaqueira,Tamarineira,Rua Neto de Mendonça,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/965984036,Specify road smoothness
Hipódromo,Ponto de Parada,Rua Fonseca Oliveira,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/151261446,Acréscimo de nova rota cicloviária
Aflitos,Graças,Rua Manuel de Carvalho,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134174443,Specify road smoothness
Jaqueira,Torre,Rua Neto de Mendonça,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/965984036,Specify road smoothness
Ponto de Parada,Hipódromo,Rua Couto Magalhães,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140479112,Acréscimo de nova rota cicloviária
Ponto de Parada,Rosarinho,Rua Couto Magalhães,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140479112,Acréscimo de nova rota cicloviária
Ponto de Parada,Encruzilhada,Rua Couto Magalhães,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140479112,Acréscimo de nova rota cicloviária
Rosarinho,Ponto de Parada,Rua Regueira Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170995,Specify speed limits
Ponto de Parada,Arruda,Rua Couto Magalhães,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140479112,Acréscimo de nova rota cicloviária
Rosarinho,Aflitos,Rua Regueira Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170995,Specify speed limits
Ponto de Parada,Campo Grande,Rua Couto Magalhães,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140479112,Acréscimo de nova rota cicloviária
Rosarinho,Tamarineira,Rua Regueira Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170995,Specify speed limits
Rosarinho,Encruzilhada,Rua Regueira Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170995,Specify speed limits
Rosarinho,Arruda,Rua Regueira Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170995,Specify speed limits
Rosarinho,Graças,Rua Regueira Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170995,Specify speed limits
Tamarineira,Jaqueira,Rua Cônego Barata,primary_link,1.2,Avenida principal,https://openstreetmap.org/way/241530799,Specify road smoothness
Tamarineira,Rosarinho,Rua Cônego Barata,primary,1.2,Avenida principal,https://openstreetmap.org/way/198109567,add parking
Tamarineira,Graças,Rua Cônego Barata,primary_link,1.2,Avenida principal,https://openstreetmap.org/way/241530799,Specify road smoothness
Tamarineira,Arruda,Rua Cônego Barata,primary,1.2,Avenida principal,https://openstreetmap.org/way/198109567,add parking
Tamarineira,Mangabeira,Rua Cônego Barata,primary,1.2,Avenida principal,https://openstreetmap.org/way/198109567,add parking
Tamarineira,Parnamirim,Rua Cônego Barata,primary_link,1.2,Avenida principal,https://openstreetmap.org/way/241530799,Specify road smoothness
Tamarineira,Casa Amarela,Rua Cônego Barata,primary_link,1.2,Avenida principal,https://openstreetmap.org/way/241530799,Specify road smoothness
Encruzilhada,Aflitos,Avenida Beberibe,primary,1.2,Avenida principal,https://openstreetmap.org/way/128677948,"Added a turn restriction, set lanes, crossing tags and adjusted geometry  in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1066"
Encruzilhada,Rosarinho,Avenida Beberibe,primary,1.2,Avenida principal,https://openstreetmap.org/way/967666039,"Added a turn restriction, set lanes, crossing tags and adjusted geometry  in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1066"
Encruzilhada,Graças,Avenida Beberibe,primary,1.2,Avenida principal,https://openstreetmap.org/way/128677948,"Added a turn restriction, set lanes, crossing tags and adjusted geometry  in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1066"
Encruzilhada,Ponto de Parada,Avenida Beberibe,primary,1.2,Avenida principal,https://openstreetmap.org/way/967666039,"Added a turn restriction, set lanes, crossing tags and adjusted geometry  in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1066"
