full_id,osm_id,osm_type,admin_level,landuse,wikipedia,wikidata,place,type,name,boundary,neighbors
r4263447,"4263447",relation,"10",,,,,boundary,Aflitos,administrative,"[ ""Rosarinho"", ""Encruzilhada"", ""Espinheiro"", ""Graças"" ]"
r4263599,"4263599",relation,"10",,,,,boundary,Jaqueira,administrative,"[ ""Tamarineira"", ""Graças"", ""Torre"", ""Santana"", ""Parnamirim"" ]"
r4263892,"4263892",relation,"10",,,,,boundary,Hipódromo,administrative,"[ ""Ponto de Parada"", ""Encruzilhada"", ""Campo Grande"" ]"
r4263893,"4263893",relation,"10",,,,,boundary,Ponto de Parada,administrative,"[ ""Hipódromo"", ""Rosarinho"", ""Encruzilhada"", ""Arruda"", ""Campo Grande"" ]"
r4263894,"4263894",relation,"10",,,,,boundary,Rosarinho,administrative,"[ ""Aflitos"", ""Ponto de Parada"", ""Tamarineira"", ""Encruzilhada"", ""Graças"", ""Arruda"" ]"
r4263895,"4263895",relation,"10",,,,,boundary,Tamarineira,administrative,"[ ""Jaqueira"", ""Rosarinho"", ""Graças"", ""Arruda"", ""Casa Amarela"", ""Parnamirim"", ""Mangabeira"" ]"
r4263965,"4263965",relation,"10",,,,,boundary,Encruzilhada,administrative,"[ ""Aflitos"", ""Hipódromo"", ""Ponto de Parada"", ""Rosarinho"", ""Espinheiro"", ""Graças"", ""Torreão"", ""Campo Grande"" ]"
r4263966,"4263966",relation,"10",,,,,boundary,Espinheiro,administrative,"[ ""Aflitos"", ""Encruzilhada"", ""Graças"", ""Torreão"", ""Santo Amaro"", ""Boa Vista"" ]"
r4263967,"4263967",relation,"10",,,,suburb,boundary,Graças,administrative,"[ ""Aflitos"", ""Jaqueira"", ""Rosarinho"", ""Tamarineira"", ""Encruzilhada"", ""Espinheiro"", ""Boa Vista"", ""Derby"", ""Madalena"", ""Torre"" ]"
r4263968,"4263968",relation,"10",,,,,boundary,Torreão,administrative,"[ ""Encruzilhada"", ""Espinheiro"", ""Santo Amaro"", ""Campo Grande"" ]"
r4264911,"4264911",relation,"10",,,,,boundary,Joana Bezerra,administrative,"[ ""Coelhos"", ""Ilha do Leite"", ""Paissandu"", ""Afogados"", ""Ilha do Retiro"" ]"
r4264912,"4264912",relation,"10",,,,,boundary,Bairro do Recife,administrative,"[ ""Santo Amaro"", ""Santo Antônio"", ""Campo Grande"" ]"
r4264913,"4264913",relation,"10",,pt:Santo Amaro (Recife),Q10368145,,boundary,Santo Amaro,administrative,"[ ""Espinheiro"", ""Torreão"", ""Bairro do Recife"", ""Boa Vista"", ""Santo Antônio"", ""Soledade"", ""Campo Grande"" ]"
r4265797,"4265797",relation,"10",,,,,boundary,Boa Vista,administrative,"[ ""Espinheiro"", ""Graças"", ""Santo Amaro"", ""Coelhos"", ""Derby"", ""Ilha do Leite"", ""Paissandu"", ""Santo Antônio"", ""Soledade"" ]"
r4265798,"4265798",relation,"10",,,,,boundary,Coelhos,administrative,"[ ""Joana Bezerra"", ""Boa Vista"", ""Ilha do Leite"", ""Santo Antônio"" ]"
r4265799,"4265799",relation,"10",,,,,boundary,Derby,administrative,"[ ""Graças"", ""Boa Vista"", ""Paissandu"", ""Ilha do Retiro"", ""Madalena"" ]"
r4265800,"4265800",relation,"10",,,,,boundary,Ilha do Leite,administrative,"[ ""Joana Bezerra"", ""Boa Vista"", ""Coelhos"", ""Paissandu"" ]"
r4265801,"4265801",relation,"10",,,,,boundary,Paissandu,administrative,"[ ""Joana Bezerra"", ""Boa Vista"", ""Derby"", ""Ilha do Leite"", ""Ilha do Retiro"", ""Madalena"" ]"
r4265802,"4265802",relation,"10",,,Q12150550,,boundary,Santo Antônio,administrative,"[ ""Bairro do Recife"", ""Santo Amaro"", ""Boa Vista"", ""Coelhos"" ]"
r4265803,"4265803",relation,"10",,,,,boundary,Soledade,administrative,"[ ""Santo Amaro"", ""Boa Vista"" ]"
r4266460,"4266460",relation,"10",,,,,boundary,Afogados,administrative,"[ ""Joana Bezerra"", ""Bongi"", ""Ilha do Retiro"", ""Mangueira"", ""Mustardinha"", ""Prado"", ""Pina"", ""Imbiribeira"", ""Jiquiá"" ]"
r4266461,"4266461",relation,"10",,,,,boundary,Bongi,administrative,"[ ""Afogados"", ""Mustardinha"", ""Prado"", ""San Martin"" ]"
r4266462,"4266462",relation,"10",,,,,boundary,Brasília Teimosa,administrative,"[ ""Pina"" ]"
r4266464,"4266464",relation,"10",,pt:Ilha do Retiro,Q10301224,,boundary,Ilha do Retiro,administrative,"[ ""Joana Bezerra"", ""Derby"", ""Paissandu"", ""Afogados"", ""Prado"", ""Madalena"" ]"
r4266465,"4266465",relation,"10",,,,,boundary,Mangueira,administrative,"[ ""Afogados"", ""Mustardinha"", ""Jiquiá"", ""San Martin"" ]"
r4266466,"4266466",relation,"10",,,,,boundary,Mustardinha,administrative,"[ ""Afogados"", ""Bongi"", ""Mangueira"", ""San Martin"" ]"
