Bairro,Vizinho,Logradouro,Tipo
Aflitos,Rosarinho,Rua Manuel de Carvalho,tertiary
Aflitos,Encruzilhada,Rua Manuel de Carvalho,tertiary
Aflitos,Espinheiro,Rua Manuel de Carvalho,tertiary
Aflitos,Graças,Rua Manuel de Carvalho,tertiary
Jaqueira,Tamarineira,Rua Neto de Mendonça,tertiary
Jaqueira,Graças,Rua Neto de Mendonça,tertiary
Jaqueira,Torre,Rua Neto de Mendonça,tertiary
Jaqueira,Santana,Rua Neto de Mendonça,tertiary
Jaqueira,Parnamirim,Rua Neto de Mendonça,tertiary
Hipódromo,Ponto de Parada,Rua Fonseca Oliveira,residential
Hipódromo,Encruzilhada,Rua Carlos Fernandes,tertiary
Hipódromo,Campo Grande,Rua Carlos Fernandes,tertiary
Ponto de Parada,Hipódromo,Rua Couto Magalhães,tertiary
Ponto de Parada,Rosarinho,Rua Couto Magalhães,tertiary
Ponto de Parada,Encruzilhada,Rua Couto Magalhães,tertiary
Ponto de Parada,Arruda,Rua Couto Magalhães,tertiary
Ponto de Parada,Campo Grande,Rua Couto Magalhães,tertiary
Rosarinho,Aflitos,Rua Regueira Costa,tertiary
Rosarinho,Ponto de Parada,Rua Regueira Costa,tertiary
Rosarinho,Tamarineira,Rua Regueira Costa,tertiary
Rosarinho,Encruzilhada,Rua Regueira Costa,tertiary
Rosarinho,Graças,Rua Regueira Costa,tertiary
Rosarinho,Arruda,Rua Regueira Costa,tertiary
Tamarineira,Jaqueira,Rua Cônego Barata,primary_link
Tamarineira,Rosarinho,Rua Cônego Barata,primary
Tamarineira,Graças,Rua Cônego Barata,primary_link
Tamarineira,Arruda,Rua Cônego Barata,primary
Tamarineira,Casa Amarela,Rua Cônego Barata,primary_link
Tamarineira,Parnamirim,Rua Cônego Barata,primary_link
Tamarineira,Mangabeira,Rua Cônego Barata,primary
Encruzilhada,Aflitos,"['Avenida Beberibe', 'Avenida João de Barros']",primary
Encruzilhada,Hipódromo,Avenida Beberibe,primary
Encruzilhada,Ponto de Parada,Avenida Beberibe,primary
Encruzilhada,Rosarinho,Avenida Beberibe,primary
Encruzilhada,Espinheiro,"['Avenida Beberibe', 'Avenida João de Barros']",primary
Encruzilhada,Graças,"['Avenida Beberibe', 'Avenida João de Barros']",primary
Encruzilhada,Torreão,Avenida Beberibe,primary
Encruzilhada,Campo Grande,Avenida Beberibe,primary
Espinheiro,Aflitos,Avenida João de Barros,secondary
Espinheiro,Encruzilhada,Avenida João de Barros,secondary
Espinheiro,Graças,Avenida João de Barros,secondary
Espinheiro,Torreão,Rua Marquês do Paraná,residential
Espinheiro,Santo Amaro,Avenida João de Barros,secondary
Espinheiro,Boa Vista,Avenida João de Barros,secondary
Graças,Aflitos,Rua Amélia,secondary
Graças,Jaqueira,Rua Amélia,secondary
Graças,Rosarinho,Rua Amélia,secondary
Graças,Tamarineira,Rua Amélia,secondary
Graças,Encruzilhada,Rua Amélia,secondary
Graças,Espinheiro,Rua Amélia,secondary
Graças,Boa Vista,Rua Amélia,secondary
Graças,Derby,Rua Amélia,secondary
Graças,Madalena,Rua Amélia,secondary
Graças,Torre,Rua Amélia,secondary
Torreão,Encruzilhada,Rua Cândido Lacerda,residential
Torreão,Espinheiro,Rua Cândido Lacerda,residential
Torreão,Santo Amaro,Rua Othon Paraíso,residential
Torreão,Campo Grande,Rua Cândido Lacerda,residential
Joana Bezerra,Coelhos,Rua Braço do Norte,residential
Joana Bezerra,Ilha do Leite,Rua Braço do Norte,residential
Joana Bezerra,Paissandu,Rua Braço do Norte,residential
Joana Bezerra,Afogados,Rua Braço do Norte,residential
Joana Bezerra,Ilha do Retiro,Rua Braço do Norte,residential
Bairro do Recife,Santo Amaro,Rua Álvares Cabral,residential
Bairro do Recife,Santo Antônio,Rua Álvares Cabral,residential
Bairro do Recife,Campo Grande,Rua Álvares Cabral,residential
Santo Amaro,Espinheiro,Rua Coelho Leite,residential
Santo Amaro,Torreão,Avenida da Saudade,tertiary
Santo Amaro,Bairro do Recife,Avenida da Saudade,tertiary
Santo Amaro,Boa Vista,Avenida da Saudade,tertiary
Santo Amaro,Santo Antônio,Avenida da Saudade,tertiary
Santo Amaro,Soledade,Rua Coelho Leite,residential
Santo Amaro,Campo Grande,Avenida da Saudade,tertiary
Boa Vista,Espinheiro,Rua Rosário da Boa Vista,residential
Boa Vista,Graças,Rua Rosário da Boa Vista,residential
Boa Vista,Santo Amaro,Rua Rosário da Boa Vista,residential
Boa Vista,Coelhos,Rua Rosário da Boa Vista,residential
Boa Vista,Derby,Rua Rosário da Boa Vista,residential
Boa Vista,Ilha do Leite,Rua Rosário da Boa Vista,residential
Boa Vista,Paissandu,Rua Rosário da Boa Vista,residential
Boa Vista,Santo Antônio,Rua Rosário da Boa Vista,residential
Boa Vista,Soledade,Rua Rosário da Boa Vista,residential
Coelhos,Joana Bezerra,Rua Júlio Bernardo,residential
Coelhos,Boa Vista,Rua Júlio Bernardo,residential
Coelhos,Ilha do Leite,Rua Júlio Bernardo,residential
Coelhos,Santo Antônio,Rua Júlio Bernardo,residential
Derby,Graças,Rua Barão de Goiana,tertiary
Derby,Boa Vista,Rua Barão de Goiana,tertiary
Derby,Paissandu,Rua Barão de Goiana,tertiary
Derby,Ilha do Retiro,Rua Barão de Goiana,tertiary
Derby,Madalena,Rua Barão de Goiana,tertiary
Ilha do Leite,Joana Bezerra,Rua Estado de Israel,tertiary
Ilha do Leite,Boa Vista,Rua Marquês Amorim,residential
Ilha do Leite,Coelhos,Rua Marquês Amorim,residential
Ilha do Leite,Paissandu,Rua Estado de Israel,tertiary
Paissandu,Joana Bezerra,Avenida Portugal,residential
Paissandu,Boa Vista,Avenida Portugal,residential
Paissandu,Derby,Avenida Portugal,residential
Paissandu,Ilha do Leite,Avenida Portugal,residential
Paissandu,Ilha do Retiro,Avenida Portugal,residential
Paissandu,Madalena,Avenida Portugal,residential
Santo Antônio,Bairro do Recife,Rua Diário de Pernambuco,residential
Santo Antônio,Santo Amaro,Avenida Guararapes,secondary
Santo Antônio,Boa Vista,Avenida Guararapes,secondary
Santo Antônio,Coelhos,Avenida Guararapes,secondary
Soledade,Santo Amaro,Avenida Oliveira Lima,tertiary
Soledade,Boa Vista,Avenida Oliveira Lima,tertiary
Afogados,Joana Bezerra,Rua Ursulino Pinto de Carvalho,residential
Afogados,Bongi,Rua Doutor Adelino,secondary
Afogados,Ilha do Retiro,Rua Ursulino Pinto de Carvalho,residential
Afogados,Mangueira,Rua Doutor Adelino,secondary
Afogados,Mustardinha,Rua Doutor Adelino,secondary
Afogados,Prado,Rua Ursulino Pinto de Carvalho,residential
Afogados,Pina,Rua Ursulino Pinto de Carvalho,residential
Afogados,Imbiribeira,Rua Ursulino Pinto de Carvalho,residential
Afogados,Jiquiá,Rua Ursulino Pinto de Carvalho,residential
Bongi,Afogados,Rua Randolfo Pinto Ferreira,residential
Bongi,Mustardinha,Rua Randolfo Pinto Ferreira,residential
Bongi,Prado,Rua Pio Muniz de Farias,residential
Bongi,San Martin,Rua Randolfo Pinto Ferreira,residential
Brasília Teimosa,Pina,Rua Atum,residential
Ilha do Retiro,Joana Bezerra,Rua João Elísio Ramos,secondary
Ilha do Retiro,Derby,Rua João Elísio Ramos,secondary
Ilha do Retiro,Paissandu,Rua João Elísio Ramos,secondary
Ilha do Retiro,Afogados,"['Rua João Elísio Ramos', 'Rua Tabaiares']",secondary
Ilha do Retiro,Prado,Rua João Elísio Ramos,secondary
Ilha do Retiro,Madalena,Rua João Elísio Ramos,secondary
Mangueira,Afogados,Rua Bernadete Xavier Gomes,residential
Mangueira,Mustardinha,Rua Benício Dias,residential
Mangueira,Jiquiá,Rua Benício Dias,residential
Mangueira,San Martin,Rua Benício Dias,residential
Mustardinha,Afogados,Rua Grão Mogol,residential
Mustardinha,Bongi,Rua Francisca Benigna Cavalcanti,residential
Mustardinha,Mangueira,Rua Grão Mogol,residential
Mustardinha,San Martin,Rua Francisca Benigna Cavalcanti,residential
Prado,Afogados,Rua Carlos Gomes,secondary
Prado,Bongi,Rua Carlos Gomes,secondary
